utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Does freezing steak affect taste?,freezing steak affect (0.67),none,none,none,none,none
How long would it take to cook a slow stew for on your cooking appliances lowest setting?,slow stew for on your cooking appliances lowest setting (1.00),none,none,none,none,none
How do I cook a cook's spiral ham?,cook's spiral ham (1.00),none,none,none,none,none
How does one cook rice perfectly?,rice perfectly (1.00),none,none,none,none,none
How much time is needed to cook half a cup of rice?,half a cup of rice? (1.00),none,none,none,none,none
"I just purchased an oven, turns out its a drying oven, can I still cook and bake in it?",oven (1.00),its a drying oven (0.89),bake in it (0.98),none,none,none
What makes you a good cook or a good chef?,good (0.81),good chef (0.90),none,none,none,none
How do I price cooking classes done in my home?,cooking classes done (0.85),none,none,none,none,none
Do you have to cook canned corn?,canned corn (1.00),none,none,none,none,none
Which step is most important in cooking any type of food?,food (0.98),none,none,step (0.55),none,none
What are some examples of how cooking varies region to region in Italy?,varies region to region (0.74),italy (0.58),none,none,none,none
What are the pros and cons of stewing meat?,pros and cons of stewing meat (0.92),none,none,none,none,none
Why is A5 Wagyu so expensive?,##5 wagyu so expensive (0.98),none,none,none,none,none
How long does it take to cook veggies in an oven?,veggies in an oven (1.00),none,none,none,none,none
Is searing meat before cooking worth the extra effort?,meat before (0.57),extra (0.47),none,cooking (0.57),effort (0.41),none
How do you cook dried fish?,dried fish? (1.00),none,none,none,none,none
How do I cook perch in the oven?,perch in the oven (1.00),none,none,none,none,none
"I recently developed interest in cooking and I want to make it a profession. I was never introduced to cooking when I was child, but now I am 19. Is my interest okay, or am I confused?",profession (0.49),okay (0.38),none,cooking (0.88),cooking (1.00),interest (0.36)
Why are most dishes in an oven heated at 200 degrees Celsius?,dishes (0.80),oven heated at 200 degrees celsius (1.00),none,none,none,none
How long does it take to roast a rack of lamb?,rack of lamb? (1.00),none,none,none,none,none
How do I make an easy stir fry sauce?,easy stir fry sauce? (1.00),none,none,none,none,none
Why don’t you like cooking?,cooking (0.86),none,none,none,none,none
Do ingredients in a slow cooker need to be mixed while cooking?,slow cooker (1.00),mixed while cooking (0.93),none,none,none,none
"Is there a book, blog, or something that talks about the fundamentals of cooking?","book, blog (0.99)",none,none,the fundamentals (0.99),cooking (0.96),none
Do you think cooking is important for boys?,boys (0.58),none,none,cooking (0.85),none,none
How can I become a skilled chef and make delicious food and be praised?,skilled chef (1.00),delicious food and be praised (0.93),none,none,none,none
Does it upset you if you are trying to cook in the kitchen and people keep coming in to your space while you’re trying to cook?,in the kitchen (1.00),space (0.39),none,none,none,none
Does the type of oil I use in cooking matter?,cooking matter (0.66),none,none,oil (0.98),none,none
How do you define the levels to cooking?,levels (0.86),none,none,cooking (0.42),none,none
What is the meaning of commercial cooking?,commercial cooking (1.00),none,none,none,none,none
What happens when you overcook pasta?,overcook pasta (1.00),none,none,none,none,none
"If your mother never allowed you to cook, what was the reason?",none,none,none,mother (0.35),none,none
How do I cook uttapam?,uttapam? (1.00),none,none,none,none,none
What is the thing used while cooking to get fire?,fire (0.70),none,none,thing (0.68),none,none
Do most Americans know how to cook at home nowadays instead of going out to eat?,americans (0.52),nowadays (0.92),none,eat (0.90),none,none
What are some cooking photos of yourself?,cooking (0.76),none,none,photos (1.00),none,none
What can an inexperienced cook make as an entree for large numbers of people?,inexperienced (0.84),make as an entree for large numbers of people (1.00),none,none,none,none
Do people cook expensive steak like wagyu beef well done?,expensive steak like wagyu beef well done? (1.00),none,none,none,none,none
What are the Peruvian dishes that you can cook?,peruvian dishes (1.00),none,none,none,none,none
What are the benefits of wrapping chicken breasts with foil?,chicken breasts with foil (0.98),none,none,none,none,none
Is it bad if you don’t know how to cook at age 26?,bad (0.54),none,none,26 (0.40),none,none
How long does it take to cook chicken at 300 degrees?,chicken at 300 degrees (1.00),none,none,none,none,none
How do I cook chicken skewers in an oven?,chicken skewers in an oven (1.00),none,none,none,none,none
Is cooking a science or art?,science or art (1.00),none,none,none,none,none
"How do you help your girlfriend learn to cook since she's admittedly clueless at it but feels bad since you do all the cooking and she's inspired to learn by her guy being talented at it (relationships, cooking, food, cuisine, love, sharing moments)?",since (0.64),admittedly clueless (0.60),but feels bad (0.70),it (0.64),cooking (0.94),it ( (0.82)
How do I cook pork loin sirloin chops?,pork loin sirloin chops? (1.00),none,none,none,none,none
"A friend of mine told me ""Cooking alone for yourself is so sad"". Cooking by myself, for myself is one of my favorite parts of the day. What do you guys think?","alone for yourself is so sad "" (0.89)",none,none,none,none,none
How long does it take to cook corn in water?,corn in water (1.00),none,none,none,none,none
How do I cook a bone in a pork roast?,bone in a pork roast (1.00),none,none,none,none,none
How long do you cook cupcakes for?,cupcakes for (1.00),none,none,none,none,none
How much will my cooking improve if I switch from an electric cooktop to gas?,cooking (0.43),electric cooktop to (0.88),none,gas (0.83),none,none
How long does it take to cook a 20-pound turkey with stuffing?,20 - pound turkey with stuffing (1.00),none,none,none,none,none
How long do you cook fresh ravioli?,fresh ravioli? (1.00),none,none,none,none,none
What does medium high heat mean when cooking?,medium high heat (1.00),cooking (0.98),none,none,none,none
How long does it take to cook boneless chicken tenders?,boneless chicken tenders (1.00),none,none,none,none,none
"Should the gills be removed when cooking Portobello mushrooms, but not other mushrooms?","portobello mushrooms, but not other mushrooms (1.00)",none,none,gills (1.00),none,none
(13 boy) should I learn how to cook? Is it important?,boy (0.43),none,none,13 (0.34),important (0.85),none
Is a sous vide cooker worthwhile for home use?,sous vide cooker (1.00),home (0.99),none,none,none,none
What does ‘spatchcock’ mean in cooking?,spatchcock ’ (1.00),none,none,cooking (0.56),none,none
Is parchment paper better to cook with than foil?,with than foil (0.99),none,none,parchment paper (0.60),none,none
What are the Vietnamese dishes that you can cook?,vietnamese dishes (0.99),none,none,none,none,none
How does cooking time affect food?,food (0.94),none,none,cooking time (1.00),none,none
Can all Asians cook?,none,none,none,asian (0.32),none,none
How long after a lobster dies do you have to cook it?,lobster dies (1.00),it (0.51),none,none,none,none
How long does it take to cook a 2.6 pound roast?,2. 6 pound roast? (1.00),none,none,none,none,none
Why do so many cooking shows do such a poor job of teaching viewers how to cook?,cooking shows (0.98),poor (0.80),viewers (0.74),none,none,none
I recently saw a video of a chef cutting an onion rather carefully into small pieces. What is the most professional way to cut an onion into small bits? What is taught at cooking school?,chef cutting (0.99),onion rather carefully into small pieces (1.00),professional (0.41),small (0.77),none,none
How do you cook when you don't like cooking?,when (0.94),none,none,cooking (0.94),none,none
How do I cook pakora properly?,pakora properly (1.00),none,none,none,none,none
What are good books to learn cooking techniques for beginner cooks?,cooking techniques for beginner cooks (1.00),none,none,none,none,none
Do you think cookbooks are useful? How did you learn to cook?,cookbooks (0.97),none,none,none,none,none
How do you add smoke flavor to food cooked on a gas grill?,smoke flavor (1.00),food cooked on a gas grill (1.00),none,none,none,none
How can I teach my girlfriend how to cook food for her boyfriend?,food (1.00),boyfriend (0.75),none,none,none,none
Must I know how to cook to be a good wife?,good wife (1.00),none,none,none,none,none
What is the best way to season chicken to take away that strong flavor/smell?,best (0.73),chicken to take away that strong flavor / smell (0.99),none,none,none,none
Can vegetables be roasted at lower temperatures?,vegetables (1.00),roasted (0.46),temperatures (0.38),lower (0.46),none,none
Why does my cooking oil always turn black?,cooking oil (0.95),none,none,black (0.85),none,none
"What's the quickest way to cook pinto beans, so I can make homemade refried beans?",quick (0.97),pinto beans (1.00),homemade refried beans (0.92),none,none,none
How long does it take to cook an 8-pound ham?,8 - pound ham? (1.00),none,none,none,none,none
Why did early humans cook their food?,early humans (0.80),food (0.93),none,none,none,none
What is a good substitute for Pernod when cooking?,pernod when cooking (1.00),none,none,none,none,none
How long does it take to cook a beef rib roast?,beef rib roast (1.00),none,none,none,none,none
Is it okay to put your seasoning in cooking oil before placing the meat in the pan?,seasoning in cooking oil (1.00),meat in the pan (0.97),none,none,none,none
Do you like your mom’s cooking?,mom ’ s cooking (0.99),none,none,none,none,none
I want to cook potatoes too slow and cook them until they are fully liquid then add the rest of the soup ingredients. Is this plausible?,potatoes too slow (1.00),cook them until they are fully liquid (0.95),add the rest of the soup ingredients (1.00),none,none,none
How do I cook turnip greens without meat?,turnip greens (1.00),none,none,meat (1.00),none,none
What is the difference between slow low temperature cooking and fast high temperature cooking?,slow low temperature cooking and fast high temperature cooking (0.99),none,none,none,none,none
How do you use oven shelves correctly for cooking?,oven shelves (1.00),cooking (0.79),none,none,none,none
"In a marriage, is cooking the wife’s responsibility?",marriage (0.95),wife ’ s responsibility (1.00),none,none,none,none
What is the difference between cooking in wood fire and others? How does it affect the cooking process?,wood fire and others (1.00),cooking (0.53),none,it (0.96),process (0.52),none
How long will a dish meant to cook for 40 minutes at 375°F take to cook at 425°F? Is there a general equation that can be applied to such scenarios when two items must be simultaneously cooked in an oven?,dish (1.00),for 40 minutes at 375°f take (1.00),425°f (1.00),general equation (0.71),oven (0.57),none
Is prime steak worth it?,prime steak (0.98),none,none,it (0.48),none,none
What are your most unique tips on how to cook eggs?,eggs (1.00),none,none,none,none,none
What are some essential tips for cooking fish on the grill?,fish on the grill (1.00),none,none,essential tips (1.00),none,none
How do I cook waffles in the oven?,waffles in the oven (1.00),none,none,none,none,none
What is the best set of pots for those who cook every day?,the best (0.63),pots (0.95),every day (0.85),none,none,none
How long should you let chicken rest after cooking?,chicken rest after cooking (1.00),none,none,none,none,none
What are some good side dishes for a chicken casserole?,side dishes (0.99),chicken casserole? (1.00),none,good (0.92),none,none
"How often do you cook at home, why?",none,none,none,none,none,none
Can chicken cook in the crockpot for 15-20 hours?,chicken (0.94),in the crockpot for 15 - 20 hours (1.00),none,none,none,none
"I'm cooking lasagna and the recipe says to add 1/2 a cup of water to the edges of the pan. Does this mean in the pan with the food, or in a water bath?",lasagna (1.00),the recipe (0.98),add 1 / 2 a cup of water to the edges of the pan (0.95),none,none,none
When is it best to add parsley during the cooking process?,parsley during the cooking process (1.00),none,none,none,none,none
"When starting to cook, what should you practice and try to master first?",first (0.43),none,none,master (0.82),none,none
Is it important to warm the flour before making bread?,flour before making bread (1.00),none,none,none,none,none
What would be the secret to cooking many dishes as easily as a great chef would?,dishes (0.87),easily (0.63),great chef (0.75),none,none,none
Do we need to wash meat mince before cooking?,meat mince before cooking (1.00),none,none,none,none,none
"For a potential wife, are skills like cooking and cleaning important?",none,none,none,cooking and cleaning important (0.91),none,none
How do I cook sirloin tips in an oven?,sirloin tips in an oven (1.00),none,none,none,none,none
How hot do you cook a turkey?,turkey (1.00),none,none,none,none,none
What’s difficult to cook but easy to eat?,but (0.46),none,none,eat (0.98),none,none
"What is the best way to cook precooked bolar beef roast? I know, it is a sad question.",precooked bolar beef roast (1.00),sad question (0.86),none,none,none,none
How do you cook asparagus so it's not bitter?,asparagus (1.00),it ' (1.00),bitter (1.00),none,none,none
What do Catholic priests like to cook the most?,catholic (0.97),the most? (1.00),none,none,none,none
Which cooking method is the least energy efficient?,cooking (0.77),least (0.56),none,energy efficient (0.99),none,none
Are salted eggs good for health?,salt (1.00),##ed eggs (0.90),none,health (0.97),none,none
Is grass-fed butter the same as organic butter?,grass - fed butter (1.00),same as organic butter (0.95),none,none,none,none
How do I cook and mash sweet potatoes?,and mash sweet potatoes? (1.00),none,none,none,none,none
Should you use warm water when making bread dough?,bread dough (1.00),none,none,warm water (0.99),none,none
How long does it take to cook a picnic pork shoulder?,picnic pork shoulder? (1.00),none,none,none,none,none
How do I cook a 2-pound meatloaf?,2 - pound meatloaf? (1.00),none,none,none,none,none
Which cooking college is the best in the state you live in?,cooking (0.57),best in the state (0.92),none,college (0.44),none,none
What does heavy cream do to soup?,soup (0.56),none,none,heavy cream (0.99),none,none
Can you cook cooked prawns?,cooked prawns (1.00),none,none,none,none,none
Which cuisine are you 'afraid' to try cooking and are not confident of pulling off?,cooking (0.70),none,none,cuisine (0.37),pulling (1.00),off (0.62)
How do I cook pasta without a stove?,pasta (1.00),none,none,a (1.00),stove (1.00),none
"When cooking, do you just fry your meat or do you boil it first?",meat (1.00),it (0.65),none,boil (0.51),none,none
Why should men learn cooking and then actually cook at home?,cooking (0.99),none,none,none,none,none
Do you have any beginner's guide to home cooking for dogs?,dogs (0.53),none,none,beginner's guide (1.00),home cooking for (0.85),none
How long does risotto take to cook?,risotto (1.00),none,none,none,none,none
What are good locations to be a chef?,chef (1.00),none,none,none,none,none
How long does it take to cook frittata in an oven?,frittata in an oven (1.00),none,none,none,none,none
What is the benefit of using a mezzaluna knife over a traditional knife?,mezzaluna knife over a traditional knife (1.00),none,none,none,none,none
What's the most delicious thing that you can cook?,most (0.97),delicious thing (0.76),none,none,none,none
How do I cook a pot roast fast?,pot roast fast? (1.00),none,none,none,none,none
How long does it take to cook a cornish hen?,cornish hen (1.00),none,none,none,none,none
"Can I combine meat and fruit in a main dish? If so, what do you suggest?",meat and fruit in (1.00),main dish (1.00),none,none,none,none
What is French couscous?,couscous (1.00),none,none,french (0.50),none,none
Is it okay to cook half of the box brownie mix and save the other half for later?,half of the box brownie mix (1.00),the other half (1.00),none,later (0.99),none,none
What are the most fundamental principles of cooking?,fundamental (0.41),cooking (0.60),none,none,none,none
"If I use good cooking utensils, knives, frying pans, etc., will the food be delicious?",cooking (0.72),", knives, frying pans, (0.91)",food (0.73),utensils (0.94),etc. (0.79),none
Why do some people think that those who put cream in sauces actually don't know how to cook well?,cream in sauces actually don't (1.00),well (0.99),none,none,none,none
Do cooks get splatter burns and splash backs lowering products into the fryers?,splatter burns and splash backs lowering products into the fryers (1.00),none,none,none,none,none
How do I best cook old-ish/bitter asparagus?,old - ish / bitter asparagus? (1.00),none,none,none,none,none
"My 20-year-old son is learning how to cook. He tried to cook a home recipe, but it didn’t turn out well. How important is it to continue to try to learn and improve in cooking when some meals come out as a disaster?",20 - year - old (0.97),home recipe (1.00),when some (0.78),well (0.32),cooking (0.90),none
How long does it take to learn to cook a hamburger?,hamburger (1.00),none,none,none,none,none
What are the benefits of boiling meatballs before frying them?,boiling meatballs before frying them (0.98),none,none,none,none,none
Can you cook and eat spoiled food?,spoiled food (1.00),none,none,none,none,none
What kinds of things do you like to cook or are good at cooking?,things (0.87),none,none,cooking (1.00),none,none
I'm 19 and live alone. What are some very basic recipes or things I could cook for myself? I've never been taught to prepare anything.,very basic recipes or things (1.00),none,none,none,none,none
How many cups of dry rice are needed to cook?,cups (0.83),rice (0.83),none,dry (0.62),none,none
What is the difference between USDA Prime and Angus beef?,usda prime and angus beef? (0.93),none,none,none,none,none
How can you cook sausages in the microwave?,sausages in the microwave? (1.00),none,none,none,none,none
How do you cook like a chef at home?,chef (0.99),none,none,none,none,none
What is the most difficult type of pasta to make from scratch at home?,difficult (0.75),pasta to make from scratch (1.00),none,none,none,none
How do you cook female eggplants?,female eggplants? (0.99),none,none,none,none,none
What are the different ways to tell when pasta is cooked perfectly?,when pasta is cooked perfectly? (0.94),none,none,none,none,none
What was a memorable mishap of your early cooking days?,memorable mishap of your early cooking days (1.00),none,none,none,none,none
What if she says ill cook for you one day maybe?,ill (0.82),one day maybe (0.96),none,none,none,none
What vodka do you use for cooking?,cooking (0.90),none,none,vodka (0.96),none,none
How do I cook a turkey with cheesecloth?,turkey with cheesecloth? (1.00),none,none,none,none,none
How can I learn to cook delicious vegetables and be good in cooking vegetarian food?,delicious vegetables (1.00),good in cooking vegetarian food (1.00),none,none,none,none
Should I cook on the shiny side of aluminum or the dull side?,shiny side of aluminum or the dull side (0.98),none,none,none,none,none
What are some of the best rums to use in cooking?,the best rums (1.00),cooking (0.82),none,none,none,none
How do I cook a beef round steak?,beef round steak (1.00),none,none,none,none,none
