utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
"A Chinese restaurant owner told me ""ice cream is not eaten in China."" Is this true or false?",chinese restaurant owner (0.84),ice cream is not eaten in china (1.00),true or false (0.57),none,none,none
"What is a popular dish or dessert today that has a long, if not ancient, history?",popular dish or dessert today (1.00),", if not (0.87)",", history (0.67)",long (0.94),ancient (0.37),none
"What are some tips and techniques on how to consider the following factors in plating and presenting dessert: plate, color, texture, cleanliness, and garnishes?","following factors in plating and presenting dessert : plate, color, texture, (1.00)",##liness (0.79),and (0.78),tips and techniques (1.00),clean (0.69),garnishes (0.84)
"What is the best ice cream (selecta, magnolia, etc.) in the Philippines?","the best ice cream ( selecta, magnolia, etc. ) in (1.00)",philippines (1.00),none,none,none,none
"Why is it called ""Baked Alaska""?","baked alaska "" (1.00)",none,none,none,none,none
Would alcohol content in a small dessert be enough to get someone drunk?,small dessert (1.00),drunk (0.59),none,alcohol content in (0.90),none,none
Is it safe to eat ice cream after drinking coffee?,ice cream after drinking coffee (1.00),none,none,none,none,none
Does sugar make ice cream freeze faster or slower?,ice cream freeze faster or slower (1.00),none,none,sugar (1.00),none,none
What’s the difference in ingredients between ice cream and frozen yogurt?,ice cream and frozen yogurt? (1.00),none,none,ingredients (0.95),none,none
"First date. When eating at a fancy restaurant, are desserts ordered alongside the meal or after? would appreciate other suggestions about restaurant etiquettes.",fancy restaurant (1.00),desserts ordered alongside the meal or after (0.97),##ique (0.70),restaurant et (0.92),##ttes (0.97),none
What is your best/favorite seasonal dessert or fruit?,best / favorite seasonal dessert or fruit? (0.99),none,none,none,none,none
What can you substitute for cream in an ice cream recipe?,cream in an ice cream recipe (1.00),none,none,none,none,none
"What is the best ice cream, Amul or Kwality Wall’s?","the best ice cream, amul or kwality wall ’ s? (1.00)",none,none,none,none,none
Can I use cornstarch to stabilize whipped cream?,cornstarch to stabilize whipped cream (0.95),none,none,none,none,none
What are some good recipes for someone who wants to start learning to make desserts and pastries?,desserts and pastries (0.96),none,none,none,none,none
I want to start making homemade ice cream. What flavor would be the easiest but also fun to make for the first time?,homemade ice cream (1.00),flavor (1.00),be the easiest but also fun (1.00),none,none,none
Can you eat ice cream and soda at the same time but not mixed?,ice cream and soda (1.00),same time (1.00),mixed (0.83),none,none,none
How long do you churn ice cream in an ice cream maker?,chu (0.85),ice cream in an ice cream maker (1.00),none,none,none,none
How do you make Nutella super creamy to make sure it stays soft in sweets?,nutella super creamy (1.00),sure it stays soft in sweets (1.00),none,none,none,none
What are the most popular pasta flans?,popular (0.51),pasta flans? (0.98),none,none,none,none
Do they sell ice cream in North Korea?,ice cream (1.00),north korea (1.00),none,none,none,none
What can I do with my undercooked pineapple upside-down cake? I think the pineapples were not drained well enough so the extra liquid caused my cake to be pasty.,undercooked pineapple upside - down cake (1.00),pineapples were not drained well enough (0.95),liquid (0.76),extra (0.99),none,none
How can I make the side crusts of my cake less dry?,side crusts of my cake less dry (1.00),none,none,none,none,none
Is it healthier to eat ice cream or candy?,health (0.74),ice cream or candy (1.00),none,none,none,none
How is rolled ice cream different from regular?,rolled ice cream (1.00),regular? (1.00),none,none,none,none
"When you picture an ice cream cone in your head, what flavor is the ice cream?",ice cream cone in (0.88),head (1.00),flavor (0.95),none,none,none
Why is it best to serve desserts slightly chilled?,desserts slightly chilled? (1.00),none,none,none,none,none
What desserts start with the letter L?,dessert (0.72),? (0.88),none,letter l (0.83),none,none
How do I cut a cake in half?,cake in half (0.98),none,none,none,none,none
Why does the custard in my lemon/lime bars always come out looking terrible and with bad texture?,custard in my lemon / lime bars always come out looking terrible and with (0.95),texture (0.91),none,bad (1.00),none,none
Do you consider peanut butter a dessert food?,peanut butter (1.00),dessert food (0.92),none,none,none,none
What is ice cream to easily digest when I have an IBS flare?,cream (0.97),easily digest when (0.85),ibs flare (0.97),ice (0.82),none,none
Can pastry cream be more than just vanilla?,pastry cream (1.00),just vanilla (0.88),none,none,none,none
Is French Raclette the best dish of the Alps?,french raclette (0.93),best dish of the alps (0.98),none,none,none,none
What is the best store-bought dessert?,the best store - bought dessert (0.94),none,none,none,none,none
How many calories are in a bowl of ice cream?,##ories (1.00),bowl of ice cream (1.00),none,cal (1.00),none,none
What can you do with a melted unwrapped chocolate bar?,melted unwrapped chocolate bar (1.00),none,none,none,none,none
Can you add Eno in a chocolate cake?,eno in a chocolate cake (1.00),none,none,none,none,none
Can ice cream be included in a healthy diet if you eat one scoop per week and exercise regularly?,cream (1.00),healthy diet (1.00),one scoop per week and exercise regularly (0.96),ice (0.67),none,none
How long does it take to whip heavy whipping cream?,whip heavy whipping cream (0.99),none,none,none,none,none
Would you put ice cream on top of a hamburger?,ice cream on top of (1.00),hamburger (1.00),none,none,none,none
How long do I need to freeze the freezer bowl when making the second batch of ice cream?,freezer bowl when making the second batch of ice cream (1.00),none,none,none,none,none
What is your favorite fruit dessert?,favorite fruit dessert (1.00),none,none,none,none,none
What is the most unique flavor of ice cream you have tried?,most (0.84),unique (0.46),ice cream (1.00),none,none,none
Are soft serves the same as ice cream?,serves (0.96),same as ice cream (0.76),none,soft (0.68),none,none
Why is mint chocolate chip ice cream green?,mint chocolate chip ice cream green (1.00),none,none,none,none,none
How many Marzipan balls should sit on top of a simnel cake?,marzipan balls (1.00),top (0.46),simnel cake (0.85),none,none,none
How did the Turkish ice cream show become so popular?,turkish ice cream show (1.00),popular (0.99),none,none,none,none
Why doesn't sugar-free ice cream taste so good although it tastes no different?,sugar - free ice cream taste so good (0.94),it (1.00),none,different (0.85),none,none
What is the dessert that you usually enjoy in November?,dessert (1.00),november (0.70),none,none,none,none
What’s a dessert you only tasted once but have never been able to forget?,dessert (1.00),once (0.53),none,never (0.32),forget (0.96),none
What bread with what topping makes the best toast?,bread (0.72),the best toast? (0.90),none,what (1.00),topping (0.68),none
Is Nestle drumstick ice cream halal?,nestle drumstick ice cream halal? (1.00),none,none,none,none,none
Where can I find Godiva soft serve ice cream?,godiva soft serve ice cream (1.00),none,none,none,none,none
What is the pope’s favorite ice cream flavor?,pope ’ s favorite ice cream flavor (1.00),none,none,none,none,none
"When eating a fancy dinner, what is normally your dessert of choice?",fancy dinner (1.00),dessert of choice (0.94),none,none,none,none
Is there any Artisan Pastry & Desserts course for beginning bakers?,artisan pastry & desserts course for beginning bakers (1.00),none,none,none,none,none
How do I make cream of turkey soup?,cream of turkey soup (1.00),none,none,none,none,none
"If you were on a desert island alone, and you could choose to bring 3 cooked different types of food (be precise), to eat for the rest of your life, what would you bring? I would bring a Carbonara, ribeye-Steak and pistacchio gelato.",desert island (1.00),"3 cooked different types of food ( be precise ), (1.00)","carbonara, ribeye - steak and pistacchio gelato (1.00)",none,none,none
How do I use an ice cream maker?,ice cream maker (1.00),none,none,none,none,none
How do I make fondant icing at home?,fondant icing (1.00),none,none,none,none,none
I never tasted cream. What does it taste like?,cream (1.00),it (0.39),none,none,none,none
"Is it possible to make ice cream with no freezer, just ice?","ice cream with no freezer, just ice (1.00)",none,none,none,none,none
How can I sweeten frozen mangoes?,sweet (0.83),frozen mangoes (1.00),none,none,none,none
How do you keep the bottom crust of a cherry pie from getting soggy?,bottom crust of (1.00),cherry pie (0.86),getting soggy (0.64),none,none,none
Desserts: What are some desserts whose names start with the letter 'M'?,desserts (0.96),desserts whose names start with the letter'm ' (1.00),none,none,none,none
What are some great ways to make ice cream without an ice cream machine?,ice cream (1.00),cream machine (1.00),none,an (0.98),ice (0.87),none
How do I make ice cream without ice?,ice cream (1.00),? (0.96),none,ice (1.00),none,none
Would you ever eat mint ice cream?,mint ice cream (1.00),none,none,none,none,none
"Which would you choose, ice cream or pizza?",ice cream or pizza (1.00),none,none,none,none,none
Should I tip at an Ice Cream shop?,ice cream shop (1.00),none,none,none,none,none
How can you tell if ice cream is moldy before eating it?,ice cream is moldy before eating it (0.98),none,none,none,none,none
What do you call that cake or ice cream flavor that has 3 colors?,cake or ice cream flavor that has (1.00),none,none,3 colors (0.82),none,none
How can someone claim to be lactose intolerant if they can enjoy ice cream and pizza?,lactose intolerant if they can enjoy ice cream and pizza (1.00),none,none,none,none,none
How do I make icing with icing sugar?,icing with icing sugar (1.00),none,none,none,none,none
What is real ice cream?,real ice cream (1.00),none,none,none,none,none
"If you are an ""Anglo"" and you serve a dessert, ice cream with little bean-like chocolate bits and call it a ""brrito"", would that be cultural appropriation?",""" anglo "" (1.00)","dessert, ice cream with little bean - like chocolate bits (1.00)",""" brrito "" (0.95)",cultural (0.56),none,none
What sodas work well with what ice creams?,ice creams? (0.98),none,none,sodas (0.93),what (0.70),none
How do you make store-bought icing easier to spread?,store - bought icing easier to spread (1.00),none,none,none,none,none
What are the best Italian chocolates?,the best italian chocolates (0.93),none,none,none,none,none
"Whenever I bake my cake in my microwave Oven (convec tion mode), it burns within 1 minute even when I have preheated the microwave at 120 only. What am I doing wrong? Or how can I bake my cake without burning it…",cake (1.00),"microwave oven ( convec tion mode ), it (0.94)",within (0.50),1 (0.45),##hea (0.46),wrong (0.72)
How is ice cream related to Boku no Pico?,ice cream related (1.00),boku no pico? (0.99),none,none,none,none
Will my ice cream maker stop on its own?,ice cream maker (1.00),own (0.84),none,none,none,none
Can you create brown butter directly from heavy cream?,brown butter directly from heavy cream (1.00),none,none,none,none,none
What is your favorite recipe for the most delicious cake?,the most delicious cake (1.00),none,none,none,none,none
What is your favourite ice cream flavour? How did you get addicted to that taste?,favourite ice cream flavour (0.96),none,none,that taste (0.95),none,none
What would be a good dessert to go with your version of the beef wellington?,dessert (0.96),the beef wellington (0.76),none,none,none,none
How do you store an ice cream cake in the fridge?,ice cream cake in the fridge (1.00),none,none,none,none,none
What do you think about mint ice cream?,mint ice cream? (0.94),none,none,none,none,none
What time does the ice cream truck come?,ice cream truck (1.00),none,none,none,none,none
Is melted ice cream less calories than frozen ice cream?,melted ice cream less calories than frozen ice cream (1.00),none,none,none,none,none
Are donuts considered a breakfast or a dessert?,donuts (0.87),breakfast or (0.91),dessert (0.55),none,none,none
Does vanilla ice cream have beaver poop in it?,vanilla ice cream (1.00),none,none,beaver poop in it (1.00),none,none
"If a guy takes a woman on a lunch date, would you expect her to order dessert?",woman (0.94),lunch date (1.00),dessert (1.00),none,none,none
Does really really good quality coffee ever taste better with sugar or cream?,really really good quality coffee ever taste better with sugar or cream (1.00),none,none,none,none,none
Should I use salted or unsalted butter for cheesecake?,salted or unsalted butter for cheesecake (1.00),none,none,none,none,none
"What is a country whose name start with an A, and end with other letter?",country (0.86),", (0.59)",none,name (1.00),a (0.62),other letter (0.99)
How sick can you get from eating expired ice cream?,expired ice cream? (1.00),none,none,none,none,none
Are cannolis an authentic Italian pastry dish? How do they put the sweet cream inside the soft outer shell? How do they make the outer shell of the cannoli?,cannolis (0.99),authentic italian pastry dish (1.00),sweet cream inside the soft outer shell (1.00),none,none,none
Do Turkish women like ice cream?,turkish (0.62),ice cream (1.00),none,none,none,none
What happens if you eat an expired pie?,expired pie (1.00),none,none,none,none,none
Can a baby eat cold foods like ice cream and watermelon?,baby (1.00),cold foods like ice cream and watermelon? (0.99),none,none,none,none
What are the most favorite desserts in Asia nowadays?,most (0.81),favorite (0.71),desserts (0.96),none,none,none
What are the alternative ingredients to replace the bechamel?,bechamel? (1.00),none,none,alternative (0.86),none,none
"I baked mini cheesecakes with red cupcake liners but the color transferred a bit to the cake at the folds. It’s said that the liner is food grade, so is it safe to eat?",mini cheesecakes with red cupcake liners but the color transferred a bit (0.98),cake at (0.71),folds (0.37),the (0.37),liner (0.90),it (0.60)
What are the best frozen pancakes?,the best frozen pancakes (1.00),none,none,none,none,none
Is Italian style gelato achievable with standard home ice cream makers and home freezers?,italian style gelato achievable with standard home ice cream makers and home freezers (1.00),none,none,none,none,none
Is it more socially acceptable to eat ice cream or cereal at 3 am?,ice cream or cereal (1.00),am (1.00),none,socially (1.00),3 (0.59),none
What do I do if my custard is too thick?,custard (1.00),thick (0.95),none,none,none,none
"Who wins when it comes to cheese, wine, and desserts, Italy or France?","cheese, wine, and desserts, italy (0.98)",france (0.55),none,none,none,none
How do you eat panettone?,panettone? (0.96),none,none,none,none,none
"Which is better for homemade frozen yogurt, Greek yogurt or plain yogurt?","homemade frozen yogurt, greek yogurt or plain yogurt (1.00)",none,none,none,none,none
"What would the straight up bad effects be if a person ate ALL of the ice cream in the sundae challenge, and all within the time limit?",straight up bad effects be (0.94),"person ate all of the ice cream in the sundae challenge, and all within (0.94)",time limit (0.98),none,none,none
Why do ice and salt make ice cream?,ice and salt make ice cream (1.00),none,none,none,none,none
What the best way to get rid of ice crystals in my ice cream if I want to eat the rest of it?,the best (0.81),ice crystals in my ice cream (1.00),rest of it (1.00),none,none,none
How much is a McDonald’s ice cream machine?,mcdonald ’ s ice cream machine (1.00),none,none,none,none,none
Do you like fried bananas with whip cream?,fried bananas with whip cream (1.00),none,none,none,none,none
"Why is soft serve ice cream often colloquially shortened to ""Fro-Yo"" despite the seemingly unrelated and dissimilar naming conventions?","soft serve ice cream often colloquially shortened to "" fro - yo "" despite the seemingly unrelated and dissimilar naming conventions (1.00)",none,none,none,none,none
I love ice cream but I am on diet. Should I totally abandon eating ice cream?,cream (0.99),eating ice cream (1.00),none,ice (0.94),none,none
Why is it unlucky to eat only half of the fortune cookie?,##lu (0.39),only half of the fortune cookie (0.93),none,none,none,none
What happens if you eat an entire pint of ice cream?,entire pint of ice cream? (1.00),none,none,none,none,none
What is the red sauce on strawberries that are usually put on top of cakes?,red sauce on strawberries that are usually put on top of cakes (1.00),none,none,none,none,none
How could a deliciously fresh dessert without cooking be obtained?,deliciously fresh dessert (1.00),none,none,cooking (1.00),none,none
Can eating ice cream raise your blood pressure?,ice cream (1.00),blood pressure (0.82),none,none,none,none
"How did the Mayas, the Spaniards, and the English use chocolate? How is chocolate used today?","mayas, the spaniards, and the english (1.00)",none,none,chocolate (0.99),chocolate used (0.83),none
Why do some people enjoy eating ice cream in the winter?,ice cream (1.00),the winter (0.94),none,none,none,none
How long does a DairyQueen ice cream cake last in the freezer before becoming unsafe to eat?,dairyqueen ice cream cake last in the freezer before (1.00),none,none,eat (0.99),none,none
How do I make a crispy peach cobbler?,crispy peach cobbler? (1.00),none,none,none,none,none
Will one bowl of ice cream ruin a diet?,ice cream (1.00),none,none,none,none,none
Can we eat chocolate ice cream during the fast of Navratri?,chocolate ice cream during the fast of navratri (1.00),none,none,none,none,none
Why does ice cream give me heartburn?,heartburn (0.99),none,none,ice cream (1.00),none,none
What is the best ice cream you've ever had?,best ice cream (0.95),ever (0.65),none,none,none,none
What are some of the great easy-to make desserts?,great easy - to make desserts (1.00),none,none,none,none,none
Why does cake icing taste so bad?,cake icing (1.00),bad (0.63),none,none,none,none
Has a type of ice cream ever been marketed that contained crunchy bacon bits mixed with vanilla or French vanilla ice cream?,ice cream (1.00),contained crunchy bacon bits mixed with vanilla or french vanilla ice cream (1.00),none,none,none,none
Are cakes better than ice creams?,cakes (1.00),creams (0.98),none,ice (0.98),none,none
What did they eat for dessert in medieval times?,dessert (0.98),medieval times (0.70),none,none,none,none
Why are some people fond of sweet dishes even though they know their hazards?,none,none,none,sweet dishes even (0.95),they (0.60),their hazards (0.91)
Is pudding a safe dessert to spoil your kids with?,safe dessert (0.84),kids with (0.89),none,none,none,none
How do I make a flan in the oven?,flan in the oven (1.00),none,none,none,none,none
What type of ice cream goes best with brownies?,ice cream goes best with brownies (1.00),none,none,none,none,none
Whatever happened to McDonald's cookies?,mcdonald's cookies (1.00),none,none,none,none,none
Can I freeze a soft serve ice cream?,soft serve ice cream (1.00),none,none,none,none,none
What was your worst baking disaster?,worst baking disaster (0.91),none,none,none,none,none
What is your favorite dessert from your culture?,favorite (0.89),dessert (0.90),none,culture (0.32),none,none
