utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Why are lobsters boiled alive? Does the meat not cook right or something if you were to drive a spike through their brain or something? It doesn’t seem to be a pressing issue for animal rights groups… is it for lack of nervous system?,lobsters boiled alive (0.98),meat not cook right or something (0.90),spike through their brain or (1.00),lack (0.97),nervous system (0.94),none
"How do you know if prosciutto is off? I just tried it for the first time. I saute`ed it in a pan with tomatoes. Is it supposed to smell and taste off, kind of rotten? Is that the curing or am I going to be throwing up soon?",prosciutto is off (1.00),sa (0.39),` (0.83),the (0.56),none,none
Do you add cheese on your omelette?,cheese (1.00),omelette (1.00),none,none,none,none
How do you keep dough from sticking without flour?,dough from sticking without (0.97),none,none,flour (1.00),none,none
How many cups and how long should you cook white rice for?,white rice for? (1.00),none,none,cups (1.00),none,none
Why does Burger King’s beef taste different from McDonald's?,burger king ’ s beef taste different from mcdonald's (1.00),none,none,none,none,none
What are the best deal management systems for private equity and venture capital firms to identify potential companies and manage the deal process internally?,the best deal management (1.00),private equity and venture capital firms (1.00),potential companies (0.89),internally (0.76),none,none
You got a job in a pizza joint and your goal is to make the most VILE pizza. What do you put on it?,pizza joint (1.00),the most vile pizza (1.00),none,none,none,none
Do air fried chicken and French fries taste as good as deep fried chicken and French fries?,air fried chicken and french fries taste as good as deep fried chicken and french fries (1.00),none,none,none,none,none
"For someone who finds buttercream too sweet, what are some other frosting choices for cakes?",cakes (0.99),none,none,buttercream too sweet (1.00),other frosting choices for (0.99),none
What is a cake batter?,cake batter (1.00),none,none,none,none,none
What do professional chefs think of Gordon Ramsay’s cooking skills? Would they say he’s one of the best chefs in the world?,professional chefs (0.67),gordon ramsay ’ s cooking skills (1.00),he (0.94),none,none,none
What celebrity chef have you met that rubbed you the wrong way?,rubbed (0.47),wrong (0.61),none,celebrity chef (0.72),none,none
Is it possible to untoast a piece of bread?,piece (1.00),bread (1.00),none,unto (0.80),none,none
Can you save a dish if you used baking powder instead of baking soda?,dish (1.00),powder instead of baking soda (0.97),none,baking (1.00),none,none
I used soap on my cast iron skillet. How do I fix whatever's wrong with it?,cast iron skillet (1.00),wrong (0.89),it (0.63),soap (1.00),none,none
Is it worth it to buy more expensive eggs?,more expensive eggs (0.94),none,none,none,none,none
How many chicken wings are 3 oz?,chicken wings are 3 oz? (1.00),none,none,none,none,none
What else (besides bread cubes and tiny potatoes) goes good in a cheese fondue?,cube (0.62),and tiny potatoes (0.83),goes good in a cheese fondue (0.93),bread (0.98),##s (0.58),) (0.55)
Can bleached flour and unbleached flour be used interchangeably in recipes?,bleached flour and unbleached flour (0.99),used interchangeably in (0.85),none,none,none,none
What can you grill besides burgers and hot dogs?,besides burgers and hot dogs (0.99),none,none,none,none,none
"Do all professional chefs know that trick where they crack two eggs at once, in one hand?",professional (0.37),chefs (0.51),trick (0.48),none,none,none
How do you keep the crust of a frozen pizza from burning?,crust (1.00),frozen pizza from (0.95),none,burning (0.98),none,none
Should a rich person kick you out of his mansion for not eating his mashed potatoes?,rich person (1.00),his mansion (0.92),eating his mashed potatoes (0.93),not (0.62),none,none
For years my wife has been making dinner for me but I came home last night and out of the blue she said I had to make my own dinner. I asked her why and she just told me she's tired of cooking for me. What should I say?,dinner (1.00),out (0.33),blue (0.36),the (0.47),cooking (0.62),none
Does carbonara pair with squid ink pasta?,carbonara (0.80),squid ink pasta (0.85),none,none,none,none
How can I reduce the saltiness of soy sauce?,saltiness of soy sauce (1.00),none,none,none,none,none
What should you eat when you're tired of cooking?,none,none,none,cooking (1.00),none,none
"Why are the watery parts of raw chicken eggs often referred to as ""egg whites"" despite being mostly transparent or, failing that, only slightly opaque?",watery parts (0.81),"raw chicken eggs often referred to as "" egg whites "" (1.00)",mostly (0.33),transparent (0.55),slightly (0.67),opaque (0.82)
How many calories are in 100 g of cooked rice?,##ories (0.84),in (0.33),100 g of cooked rice? (0.92),cal (0.99),none,none
What do I do when my husband is angry with me and not eating my cooked food?,angry (0.48),food (0.80),none,cooked (0.62),none,none
How can you stop forgetting to leave food unattended on the stove while preparing it?,food unattended on the stove (1.00),it (0.81),none,none,none,none
"Our budding chef's biggest challenge in culinary school was maintaining his ""brigade."" What's that?",budding chef's biggest challenge in culinary school (0.99),""" brigade (0.81)",""" (0.98)",none,none,none
"If you had to choose which food not to eat anymore, what would you choose: pizza or pasta?",food (0.91),anymore (0.95),pizza or pasta? (0.88),none,none,none
Are chefs allowed to have tattoos?,chefs (0.96),none,none,tattoos (1.00),none,none
"If a food has a strong smell and taste, if anything at all, what can that tell you about whether or not you should be eating it?",food (1.00),none,none,"strong smell and taste, if anything (0.98)",all (0.36),that (0.62)
Is it possible to mute the keypad tone on a microwave oven?,keypad tone on (1.00),microwave oven (1.00),none,none,none,none
My drinking water is very clean. Is it okay if I boil it in the kettle more than once?,drinking (0.49),the (0.43),kettle (0.45),water (0.68),none,none
"What is a wheat substitute, besides milk?","wheat substitute, besides (0.96)",none,none,milk (0.98),none,none
Do you like your eggs cooked or fried? Who usually makes it for you?,eggs cooked or fried? who usually (1.00),it (1.00),none,none,none,none
How do you keep pizza dough from sticking to the pan?,pizza dough from sticking to the pan (0.94),none,none,none,none,none
What food is Kumamoto known for?,kumamoto (0.95),none,none,food (0.97),none,none
Is it possible to fry eggs the same way you fry fries or fried chicken?,eggs the same way you fry fries or fried chicken (1.00),none,none,none,none,none
What is in a kani tempura roll?,kani tempura roll? (1.00),none,none,none,none,none
What is a quick recipe for a vegetarian pasta that doesn't contain cheese?,vegetarian pasta that doesn't contain cheese (1.00),none,none,none,none,none
How do you make carrot and lentil soup?,carrot and lentil soup? (1.00),none,none,none,none,none
How do I keep fresh pasta from sticking?,fresh pasta from sticking? (1.00),none,none,none,none,none
What are the ingredients for no-bake cookies?,no - bake cookies? (1.00),none,none,none,none,none
Can I add milk instead of water to pancake mix?,milk instead of water to pancake mix (1.00),none,none,none,none,none
Why is the yolk in most store bought eggs so much lighter yellow than the yolk found in farmed raised free range chicken eggs?,##lk in (0.97),store bought eggs so much lighter yellow than the yolk found in farmed raised free range chicken eggs (1.00),none,yo (0.99),none,none
What's the best way to cook gnocchi?,gnocchi? (1.00),none,none,none,none,none
Does blanching greens remove nutrients?,blanching (0.75),none,none,greens (0.64),nutrients (1.00),none
"If a cook and a baker had to become chemists, who would have an easier time?",cook (0.99),baker (0.64),chemists (0.65),easier (0.52),none,none
How can I make a homemade strudel?,homemade strudel? (1.00),none,none,none,none,none
What are your best dinner recipes?,best dinner (1.00),none,none,none,none,none
What are some good heat resistant bags for cooking?,good heat resistant bags (0.97),cooking (0.97),none,none,none,none
"Aside from onions, what kind of food will make you cry?",cry (0.86),none,none,onions (1.00),food (0.75),none
Does it matter if you use brown sugar or white sugar in cookies?,brown sugar or white sugar in cookies (1.00),none,none,none,none,none
"Would searing or sautéing the aromatics first make a vegetable soup taste too strong, overdone?",or saute (0.82),aromatics first make a (1.00),"vegetable soup taste too strong, overdone (1.00)",searing (0.99),none,none
How do you store potatoes and onions for a long time?,potatoes and onions (1.00),time (0.67),none,none,none,none
Is it safe to use butane or culinary torch on food?,butane or culinary torch (1.00),food (0.78),none,none,none,none
Is homemade soup healthier than canned?,homemade soup health (1.00),canned? (0.91),none,none,none,none
What are the best food mixes in order to produce the most farts?,the best food mixes (1.00),the most farts (1.00),none,none,none,none
Why does reheated Pizza taste better?,reheated pizza taste (0.91),none,none,none,none,none
How often does icing the kicker work?,ic (1.00),the kicker (1.00),none,none,none,none
Why does cake icing taste so bad?,cake icing (1.00),bad (0.63),none,none,none,none
Why do chefs say that putting pasta water in the pasta sauce is a must? What does that exactly do?,pasta water in the pasta sauce is (0.99),none,none,chefs (0.46),must (0.37),exactly (0.73)
"When cooking breakfast, what do you cook first?",breakfast (1.00),first? (0.95),none,none,none,none
How do you start making food from scratch?,food (1.00),scratch (0.57),none,none,none,none
What type of cake is made without additional fat?,cake (1.00),none,none,additional fat (1.00),none,none
Is it good to eat noodles at night?,noodles (1.00),night (1.00),none,none,none,none
What will happen if I eat five pounds of uncooked rice and chug a gallon of boiling water?,five pounds of uncooked rice and chug a gallon of boiling water (1.00),none,none,none,none,none
Does olive oil go rancid when cooked?,olive oil go rancid when cooked (0.97),none,none,none,none,none
What is the benefit of cooking on high heat?,high heat (0.99),none,none,none,none,none
"What cooking ingredient for a recipe did you always skimp on until you tried the higher quality, and now you will never settle without?",recipe (0.94),until (0.38),tried the higher quality (0.79),cooking ingredient (0.62),without (0.71),? (1.00)
Is it safe to eat steak rare or medium rare?,steak rare or medium rare (1.00),none,none,none,none,none
What's the cooking mistake that cost you the most failures before you realised what it was?,cooking (0.99),the most failures before (0.79),it (0.49),mistake (0.92),none,none
Is Australian Wagyu beef grass fed?,australian wagyu beef grass fed? (1.00),none,none,none,none,none
How many cups of rice are there per water?,cups (0.50),water (0.64),none,rice (0.83),none,none
Why do people use gold as an ingredient in food? Does it help the taste?,food (1.00),none,none,gold as (0.91),ingredient (0.93),it (0.70)
Is it better to cook wantons and then store them or store them in the fridge raw until they’re ready to cook?,wantons and then store them (0.89),them in the fridge raw until they ’ (0.87),cook (0.58),none,none,none
How do you make rice fluffy and not sticky?,rice fluffy and not sticky? (1.00),none,none,none,none,none
What is the healthiest way to cook frozen vegetables?,health (0.97),frozen vegetables (1.00),none,none,none,none
Is it possible to become a chef if you are disgusted by meat?,chef (1.00),none,none,meat (1.00),none,none
Does Burger King cook an impossible burger on a separate grill?,burger king (1.00),impossible burger on a separate grill (1.00),none,none,none,none
How do I boil eggs to make them easy to peel?,eggs (1.00),them (0.99),easy to peel (0.91),none,none,none
Is lasagna only one flavour? Pasta have so many flavours but I only can find the same one lasagna recipe.,lasagna (0.99),one (0.58),pasta (0.50),flavours (1.00),none,none
What do you think is the most underrated simple food combination?,the most underrated simple food combination (1.00),none,none,none,none,none
"What is common ""poor student"" food in your country?",""" (0.88)","poor student "" food (1.00)",none,country (0.31),none,none
Why does fat taste so heavenly good?,fat taste (0.95),heavenly good (0.73),none,none,none,none
Which food is best in summer?,food (0.88),best (0.58),none,summer (0.97),none,none
"Would you rather have an AI bathroom with built-in arms that washes and grooms you or an AI kitchen with built in arms that knows what you want to eat, and cooks it for you?",ai bathroom with (1.00),- in arms that washes and grooms you (0.98),ai kitchen with (0.86),built (0.97),built (1.00),none
How long do you cook a beef roast at 350 degrees?,beef roast at 350 degrees (1.00),none,none,none,none,none
How long does it take to cook salmon at 425 degrees?,salmon at 425 degrees (1.00),none,none,none,none,none
Which cooking oil is good for human health?,cooking (0.78),health (0.61),none,oil (0.90),human (0.49),none
What is the best way to store cheese blocks?,cheese blocks (1.00),none,none,none,none,none
What is the best pasta machine for homemade pasta?,the best pasta machine for homemade pasta? (1.00),none,none,none,none,none
A recipe calls for 1 /3 cup of suger 2 cups of flour. How many cups of flour do you need to add 3 cups of sugar?,1 / 3 cup of suger 2 cups of flour (1.00),many cups of flour (1.00),3 cups of sugar (1.00),none,none,none
What type of bread is traditionally used for croque monsieur?,croque monsieur (1.00),none,none,bread (0.64),none,none
What are the best chef's knives for impressive results?,the best chef's knives for impressive results (1.00),none,none,none,none,none
What is the best way to eat beef?,beef (1.00),none,none,none,none,none
What can you add to make your oatmeal tastier?,oatmeal tastier (1.00),none,none,none,none,none
What kind of oil makes the best pasta dough?,the best pasta dough (1.00),none,none,oil (1.00),none,none
What are the different types of charcoals for grilling?,charcoals for grilling (1.00),none,none,none,none,none
How do you guys handle steaks that have been cut too thin (1”)?,steaks that have been cut too thin ( 1 ” ) (1.00),none,none,none,none,none
"Which kitchen appliance is used to fry, bake, broil, or roast foods?",kitchen appliance (0.95),"fry, bake, broil, or roast foods (1.00)",none,none,none,none
"Is it true that in Italy pasta is never usually a main meal item but a side dish to have with other foods? If so, what main food items do Italians usually have with pasta as the side dish?",italy pasta (0.71),main meal item but a side dish (1.00),with other foods (0.70),main (0.99),items (0.67),pasta (0.84)
How do you keep onions from rotting?,onions from rotting? (0.83),none,none,none,none,none
"My kids have started to eat more at dinner. How do I up the amount without wasting food? If I cook another chicken breast, it will go to waste. How can I beef it up?",kids (0.48),amount (0.33),chicken breast (1.00),wasting food (1.00),waste (0.60),none
How do you cook frozen egg rolls at Costco?,frozen egg rolls at costco? (1.00),none,none,none,none,none
What are the best pizza sauce recipes that do not use tomato paste?,the best pizza sauce (1.00),none,none,tomato paste (1.00),none,none
How much money do you save cooking at home versus eating out?,cooking (0.98),home versus eating out (0.79),none,money (1.00),none,none
What would happen if I cleaned my self-cleaning oven with baking soda & vinegar and there is still a little residue in the side openings? Should I blame this on my anxiety? Will it explode?,self - cleaning oven with baking soda & vinegar (1.00),residue in the side openings (0.97),none,little (0.55),anxiety (0.89),none
Can you cook pasta in chicken broth instead of water?,pasta in chicken broth instead of water (1.00),none,none,none,none,none
Why don't homemade foods taste as good as restaurant food?,homemade foods (1.00),good as restaurant food (0.99),none,none,none,none
How does butter affect cookies?,cookies (1.00),none,none,butter (0.87),none,none
"Why does jam sometimes not thicken, and how do you remedy it?",sometimes (0.58),none,none,jam (0.87),thicken (0.71),none
What is a masal kaleji recipe for Eid al-Fitr?,masal kaleji (1.00),eid al - fitr (1.00),none,none,none,none
What is the standard grill size?,standard grill size (1.00),none,none,none,none,none
What is scalded milk?,scalded milk (0.97),none,none,none,none,none
Does Pizza Hut sell Margherita pizza?,pizza hut sell margherita pizza (1.00),none,none,none,none,none
Which cast iron baking sheet will you recommend for someone who wants to start?,cast iron baking sheet (0.94),none,none,start (0.99),none,none
Is fried okra healthy?,fried okra healthy (0.98),none,none,none,none,none
How do I make buttermilk from sweet milk?,buttermilk from sweet milk? (1.00),none,none,none,none,none
What are some of the world's best sandwiches (and their recipes)?,the (0.96),world's best sandwiches ( and their recipes ) (0.99),none,none,none,none
I bought BBQ ribs at a takeout joint last night and they're really dry. Is there a way to make them moist again (short of dousing them with sauce) or is it a lost cause?,bbq ribs at a (1.00),takeout joint (0.98),dry (0.69),do (0.59),none,none
How do you cook when you don't like cooking?,when (0.94),none,none,cooking (0.94),none,none
Which cut of steak has the most flavor and fat?,steak (1.00),none,none,most (0.52),flavor and fat? (1.00),none
Why does my silverware sometimes taste metallic?,silverware (1.00),? (0.99),none,metallic (0.58),none,none
Who is the better chef: Gordon Ramsay or Jacques Pépin?,gordon ramsay or jacques pepin? (0.99),none,none,none,none,none
Why does YouTube do nothing about the proliferation of fake and dangerous food/cooking hacks?,fake and dangerous food / cooking hacks (0.96),none,none,proliferation (0.75),none,none
What is circle pasta called?,circle pasta called (0.90),none,none,none,none,none
How do I cook a beef roast without drying it out?,beef roast (1.00),it out (0.97),none,drying (1.00),none,none
How much butter goes into a single croissant 🥐?,goes into (0.95),single croissant 🥐? (1.00),none,butter (1.00),none,none
Is it extremely cruel to boil a live lobster?,live lobster (1.00),none,none,none,none,none
What is the most underrated pizza topping? Could it be spaghetti?,most (0.98),underrated pizza topping (0.88),spaghetti (0.99),none,none,none
How long do you cook a medium rare steak on the stovetop?,medium rare steak on the stovetop (1.00),none,none,none,none,none
How do I cook moist boneless pork chops?,moist boneless pork chops? (1.00),none,none,none,none,none
Is there an actual reason why old cast iron pans are better than the ones made nowadays? Was there a change in production methods or something?,old cast iron pans are better than the ones made nowadays (1.00),production methods (0.66),none,actual (0.51),none,none
How do you stop baking sheets from warping in the oven?,baking sheets from warping in the oven (0.98),none,none,none,none,none
"If boiled chicken breast is too dry, can you make it more palatable with a pinch of salt afterward?",boiled chicken breast (0.86),dry (0.73),it (0.41),none,none,none
What is the function of sugar in cake making?,sugar in cake making (0.99),none,none,none,none,none
Does Subway use real tuna?,subway (0.88),none,none,real tuna (0.99),none,none
How do you make pineapple salsa from scratch?,pineapple salsa (1.00),scratch (1.00),none,none,none,none
How do I troubleshoot/diagnose an oven that won't heat past a certain point?,troubleshoot / diagno (0.91),oven (1.00),won't heat past (0.86),none,none,none
"Why do eggs stick to frying pans, no matter what material the pan is made of?",eggs (1.00),"frying pans, (0.98)",pan (0.98),material (0.99),none,none
What's the best way to make a homemade mashed potato?,homemade mashed potato? (1.00),none,none,none,none,none
I babysit for a family with a picky eater and want to cook dinner for all of them. What can I make that the whole family will like?,family (1.00),dinner (1.00),whole family (0.66),picky eater (1.00),none,none
Should pasta be washed before and after cooking?,pasta (0.92),washed before and after cooking (0.54),none,none,none,none
How do you cook steak well done on the inside without burning the outside?,steak well done on the inside (1.00),none,none,burning (1.00),outside (0.98),none
What dishes do professional chefs dislike preparing at a restaurant?,professional (0.68),restaurant (1.00),none,dishes (0.45),none,none
How do Americans cook squirrels?,squirrels (1.00),none,none,none,none,none
Why is Colonel Sanders’ recipe still a secret after all of these years?,sanders ’ (0.63),secret after (0.39),years (0.37),none,none,none
Do cooks have any hacks for storing brown sugar so it doesn't get hard as a rock?,brown sugar so it doesn't get hard as a rock (0.98),none,none,hack (1.00),none,none
How do you stop pasta from sticking to the pot while cooking it?,pasta (1.00),sticking to the pot while cooking it (0.77),none,none,none,none
Does China have Wagyu beef?,none,none,none,wagyu beef (1.00),none,none
What is your cooking secret ingredient?,cooking secret ingredient (0.99),none,none,none,none,none
Why would you keep fresh eggs in refrigerated storage for at least a week or two …before using them?,fresh eggs in refrigerated storage for (1.00),a week or two … (0.87),none,none,none,none
"My husband said I ""disgust"" him and that I'm lazy just because I didn't feel like cooking a full meal for him at 10 pm. Should I have just cooked no matter the time?",full meal (1.00),pm (0.86),no matter the time (0.71),10 (0.67),cooked (0.90),none
Do you know how to quickly bring an egg that has just been taken out of the refrigerator to room temperature?,egg that has just been taken out of the refrigerator (1.00),room temperature (0.90),none,none,none,none
Why is it called chicken Parm if it's made with mozzarella?,chicken parm if it's made with mozzarella (1.00),none,none,none,none,none
"What is that food you pay so much for if you eat out, can actually be easily made at home?","if you eat out, can actually be easily made (0.89)",none,none,food (0.80),none,none
Should you marinate vegetables with meat?,vegetables with (1.00),none,none,marina (0.94),meat (0.88),none
Should I tell any potential female dates that I want a woman who knows how to cook and clean?,potential female dates (0.99),woman (0.40),clean (0.48),and (0.45),none,none
How thick should a Wagyu steak be?,wagyu steak (1.00),none,none,none,none,none
How do I make a French onion dip easily?,french onion dip easily? (0.99),none,none,none,none,none
How long does chicken stock last in the fridge?,chicken stock last in (0.81),fridge (0.96),none,none,none,none
What do you like to dip your fries in besides ketchup?,fries in besides ketchup? (1.00),none,none,none,none,none
What are the healthiest alternatives to sugar substitutes?,healthiest (1.00),sugar substitutes (0.98),none,none,none,none
What happens if you put pizza into a mixer?,pizza (1.00),mixer (0.87),none,none,none,none
How do pizza brands sell unlimited pizza and make a profit?,pizza brands (1.00),unlimited pizza (1.00),profit (0.98),none,none,none
What is vegan blintzes? How is it made? Why?,vegan blintzes (1.00),it (1.00),none,none,none,none
"Will parboiling a potato with the skin on before I microwave it make it less lumpy? If so, how long should it be parboiled, or is there something better to get a quicker baked potato?",##bo (0.68),potato with the skin on before i microwave it (1.00),it less lumpy (1.00),par (0.98),par (0.99),none
How long does it take to cook raw chicken breasts?,raw chicken breasts? (0.97),none,none,none,none,none
How long can eggs be unrefrigerated before becoming unsafe to eat?,eggs (1.00),unrefrigerated before becoming (0.78),none,eat (1.00),none,none
I left my gas stove on for a couple of seconds. Should I be worried?,gas stove (0.77),seconds (0.50),none,worried (0.51),none,none
How do you keep foods cool without a cooler?,foods cool (1.00),none,none,a (0.97),cooler (1.00),none
What are your heavenly good meal recipes that involve maple syrup?,heavenly good meal (1.00),syrup? (0.99),none,maple (1.00),none,none
What does it mean when my neighbor brings over a bowl of mashed potatoes with skins in them with more than 10 plastic nails in them?,bowl of mashed potatoes with skins in them with more than 10 plastic nails (0.99),them (0.69),none,none,none,none
What food is allowed into Spain from the UK?,spain (0.83),none,none,food (0.98),from (0.32),uk (0.31)
Can you share a photograph of foreign cuisine you made at home?,foreign cuisine you made (1.00),none,none,none,none,none
What is the easiest food to make from scratch?,easiest food (0.85),make from scratch (0.78),none,none,none,none
How do people come up with new recipes for food?,food (1.00),none,none,none,none,none
French toast and Panzanella are wonderful uses for leftover bread. What are some other sublime uses for common leftover ingredients in other cuisines?,french toast and panzanella (1.00),wonderful uses (0.72),##over bread (1.00),left (0.64),other (0.78),none
How do you know if your olive oil is rancid?,olive oil is rancid? (1.00),none,none,none,none,none
What's the dumbest thing you've ever done food-wise?,dumbest thing (1.00),done food - wise (0.81),none,none,none,none
"Why don't the restaurants tidy up before Gordon Ramsay arrives for shooting ""Kitchen Nightmares""? Or is it a surprise visit within a given time window, and the people can't fix up things in time?",restaurants (1.00),"up before gordon ramsay arrives for shooting "" kitchen nightmares "" (1.00)",surprise visit (1.00),time (0.98),none,none
How long do I cook a pick nic 2 lb roast on an electric grill?,pick nic 2 lb roast on an electric grill (1.00),none,none,none,none,none
How do I cook chicken such that it isn't chewy and rubbery?,chicken such that it isn't chewy and rubbery? (1.00),none,none,none,none,none
What are some low-cost hummingbird food recipes?,low - cost hummingbird food recipes (1.00),none,none,none,none,none
What type of cake should I make for my husband?,cake (1.00),husband (0.50),none,none,none,none
Is it possible to live a rich culinary life full of good food if you keep strictly kosher?,rich culinary life full of good food (0.94),kosher (0.80),none,strictly (0.96),none,none
Why do eggs and pineapples not go together?,eggs and pineapples not go together (0.93),none,none,none,none,none
I’ve been thinking about moving on my own. I’m only 18 and I don’t know anything I need to know to move out ASAP. How do I prepare how to cook and move out?,how to cook and move out (1.00),none,none,none,none,none
In what ways was Anthony Bourdain ahead of his time?,anthony bourdain (0.99),none,none,none,none,none
Is the original Italian pizza very thin or a slightly thicker dough?,original italian pizza very thin or a slightly thicker dough (1.00),none,none,none,none,none
Does it matter what flour you use for a sourdough starter?,sourdough starter (1.00),none,none,flour (1.00),none,none
"In the original Jurassic Park, a dish that somewhat resembles sushi or sashimi with an orange garnish is placed before Laura Dern in the scene immediately following them witnessing a T-Rex tear a goat to pieces. What was that dish, if not fish?",original jurassic park (0.94),dish (1.00),somewhat resembles sushi or sashimi with an orange garnish (0.98),fish (1.00),none,none
Why is mayonnaise still so common? Almost nobody under 55 likes it and it’s the base of a lot of sauces used in samwiches When will this change?,mayonnaise still (0.99),common (0.99),nobody under 55 likes it (0.82),none,none,none
What is the most satisfying food you've ever cooked?,most (0.70),satisfying (0.80),food (0.87),none,none,none
Why do some knife makers claim that their products never need to be sharpened? How is this possible and logical?,knife makers (1.00),their products (1.00),sharpened (0.69),none,none,none
Would bringing chicken in a 6% wet brine regularly be unhealthy because of the added salt from the brine?,chicken in a (1.00),6 % wet brine regularly (0.99),##healthy because (0.79),the (0.97),none,none
How long do potato pancakes last in the fridge?,potato pancakes (1.00),in (0.45),fridge (0.74),none,none,none
What is the easiest pasta dish to prepare?,easiest pasta dish (0.99),none,none,none,none,none
How much cheese and flour do I need to make a large cheese pizza at home to feed 8 people?,and flour (0.97),large cheese pizza (1.00),8 people (0.97),cheese (1.00),none,none
"If I order an 8oz steak at a restaurant, is the steak 8oz before or after cooking?",8oz steak (1.00),restaurant (0.99),the steak 8oz before or after (0.88),cooking (0.94),none,none
How do you stop boiled food from sticking to a stainless steel pot?,boiled food (1.00),sticking to (0.96),stainless steel pot (1.00),none,none,none
What is the best mushroom variety someone can add to their homemade spaghetti sauce?,the best mushroom variety (1.00),homemade spaghetti sauce (1.00),none,none,none,none
Is it fine to eat undercooked chicken breasts?,undercooked chicken breasts (1.00),none,none,none,none,none
What is the fastest way to cook beans?,beans? (1.00),none,none,none,none,none
Does it matter if flour is bleached or unbleached for baking?,flour is bleached or unbleached for (0.99),none,none,baking (0.60),none,none
What’s the best way to store onions still attached to their greens?,onions still attached to their greens (1.00),none,none,none,none,none
"Why don’t chefs wipe their knives after sharpening? I’ve sharpened knives before, and I’ve noticed metal dust when wiping the knife afterward?",chefs (0.88),knives after sharpening (1.00),knives (0.47),metal dust when (0.92),none,none
How do you tell if fried chicken is done without a thermometer?,fried chicken is done (1.00),none,none,a (1.00),thermometer (1.00),none
What should I name my YouTube cooking channel?,youtube cooking channel (1.00),none,none,none,none,none
What are the effects of more people watching cooking shows?,people (0.90),cooking shows (1.00),none,none,none,none
Is it okay to use PAM cooking spray to tan?,pam cooking spray to tan (1.00),none,none,none,none,none
How can I master using a knife for cooking without taking a course?,knife for cooking (1.00),none,none,taking (1.00),course (1.00),none
What's the best way to eat biscuits?,biscuits (1.00),none,none,none,none,none
Why can’t we buy chicken breasts with the skin on? Are the poor chickens grown skinless?,chicken breasts with the skin on (1.00),poor chickens grown skinless? (0.98),none,none,none,none
What is the best temperature to cook a joint of beef?,joint of beef (1.00),none,none,none,none,none
How many calories are in pork and beans?,##ories (0.77),pork and beans? (0.98),none,cal (0.97),none,none
How long does it take to water bath apple butter?,water bath apple butter (0.89),none,none,none,none,none
Why do I need to use an oven to make creme brulee?,oven (1.00),make creme brulee (0.99),none,none,none,none
Are there any good Filipino recipes for a family?,good filipino (0.81),family (1.00),none,none,none,none
What dish is local to you that no one outside the region has heard of?,none,none,none,dish (0.58),region (0.38),none
Does low sodium bacon taste different?,low sodium bacon taste (0.97),none,none,none,none,none
What are some ideas for cold finger food that can be eaten while driving?,cold finger food that can be eaten while driving (1.00),none,none,none,none,none
Is sweet cream butter the same as regular butter?,sweet cream butter (1.00),as regular butter (0.91),none,none,none,none
Do people really cook pasta and sauce separately then pour it on top?,pasta and sauce separately then pour it on top (1.00),none,none,none,none,none
What are the best pans to cook with and have food not stick to it or burn?,the best pans (0.97),with and have (0.81),not (0.84),food (0.58),stick (0.70),it (1.00)
Is it gross to eat non-toasted bread with butter and jam?,non - toasted bread with butter and jam (1.00),none,none,none,none,none
What is the best way to fry canned tuna?,canned tuna (1.00),none,none,none,none,none
What is the most delicious dish someone brought to a gathering that the person would not give out the recipe for? Did you ever find out how to make it?,most (0.97),delicious dish (0.72),gathering (0.43),none,none,none
What was supposed to be the next big thing in cooking but totally flopped?,next big thing in cooking but totally flopped? (1.00),none,none,none,none,none
"How do you make a peppery, sweet, homemade chili jam (food, preserves, cooking, canning, fruits, sugar, sweets, and condiments)?","peppery, sweet, homemade chili jam ( food, preserves, cooking, canning, fruits, sugar, sweets, and condiments ) (1.00)",none,none,none,none,none
Why does my brown rice always turn out hard?,brown rice always turn out hard (0.88),none,none,none,none,none
Do you consider sweet corn a proper pizza topping?,sweet corn (1.00),proper pizza topping (0.98),none,none,none,none
Is it okay to barbecue previously frozen beef?,previously frozen beef (1.00),none,none,none,none,none
How do you cook foods that you hate?,foods (1.00),none,none,none,none,none
Can a pancake mix substitute for a cake mix?,pancake mix (1.00),cake mix (0.93),none,none,none,none
"Thinking of opening a small grocery store featuring bulk dry goods - spices, beans, grains, pastas, flours, etc. This would eliminate need for expensive refrigeration, reduce spoilage, and be cheaper for the customer. Is this a place you would visit?","small grocery store featuring bulk dry goods - spices, beans, grains, pastas, flours, etc (1.00)","refrigeration, reduce spoilage (1.00)",customer (0.52),expensive (1.00),none,none
Can you leave pizza dough to rise for hours?,pizza dough (1.00),rise for hours (0.99),none,none,none,none
How can you fix a cast iron pan that becomes sticky after cooking?,cast iron pan that becomes sticky after cooking (1.00),none,none,none,none,none
How can you tell if olive oil is real?,olive oil (1.00),real (0.99),none,none,none,none
